Time,V_Current,U_Current,SBG EKF Velocity N,SBG EKF Velocity E,SBG EKF Velocity N Acc,SBG EKF Velocity E Acc,SBG EKF Latitude,SBG EKF Longitude,SBG Heading2,OD19_TRUE_WIND_SPEED,OD19_TRUE_WIND_DIRECTION,ADCP_DC3_V2,ADCP_DC4_V2
1474114029.999796,0.007369571172779128,-0.341400822603013,8.578137328057416,13.692807261346845,0.09817744766015844,0.09844857405633615,32.710685485233434,-117.82318488652902,57.86,3.167139,284.4143,16.386080870917574,16.30248833592535
1474114030.999795,0.00737150727309074,-0.3414265403024419,8.517269213129167,13.740380666860341,0.098165998041259,0.09842895544937945,32.71072506897754,-117.82310925695535,57.93,3.0920875,283.07773,16.327760497667185,16.40163297045101
1474114031.999794,0.007373478555234281,-0.3414508589045032,8.437436995202239,13.75631726177447,0.0981651434839977,0.09842333564908472,32.71076427962237,-117.82303336735288,58.02,2.6662135,279.3355,16.475505443234837,16.502721617418352
1474114032.999793,0.007375488577561217,-0.3414741708005772,8.385005301301995,13.796122596942434,0.09813462565095392,0.09839150701210622,32.71080325141901,-117.82295717627397,58.12,2.4180384,272.26837,16.541601866251945,16.533825816485226
1474114033.999792,0.007377540314590859,-0.3414964000780897,8.372813694955402,13.832835535610075,0.09807889837870146,0.09833717020590606,32.710841963936254,-117.82288067500258,58.24,2.2279932000000002,267.1374,16.56104199066874,16.62130637636081
1474114034.9997911,0.007379551951350581,-0.34151922178766286,8.35304775653323,13.869204565674114,0.09804096472671207,0.09830291549534673,32.71088085165113,-117.82280411552256,58.38,1.8985144,270.86062999999996,16.52021772939347,16.551321928460343
1474114035.9997902,0.007381547791528964,-0.34154122556086547,8.318965579636545,13.910190870009167,0.09802988445035778,0.0982967018501755,32.710919485860025,-117.82272748277884,58.53,1.7312990000000001,274.06702,16.524105754276828,16.438569206842924
1474114036.9997892,0.007383594849779444,-0.34156296884617,8.28839108510114,13.95303298303536,0.09806447953541951,0.09833663429711507,32.71095814502461,-117.82265044076618,58.67,1.4702833999999998,279.51608,16.493001555209954,16.3549766718507
1474114037.9997883,0.007385627498414826,-0.34158412692198215,8.297279871084827,13.968277125855442,0.09813123638995143,0.09840848952717211,32.71099662953961,-117.82257330270573,58.79,1.5112748,287.82547,16.40552099533437,16.395800933125972
1474114038.9997873,0.007387559444496065,-0.34160646005404616,8.40173816977541,13.977447712959066,0.098170307037619,0.09845205022146691,32.711035395122174,-117.82249633427188,58.9,1.7972561000000002,284.43842,16.448289269051322,16.493001555209954
1474114039.9997864,0.0073893796782194265,-0.34163075381543523,8.498076146720543,13.956103132078844,0.09819004875875743,0.0984759995508157,32.711074684112376,-117.82241953004183,58.97,1.9068577000000002,284.75732,16.419129082426128,16.30248833592535
1474114040.9997854,0.007391126430417877,-0.34165622785655103,8.569583180903647,13.919175134661781,0.09819261967255206,0.0984819669676235,32.71111429452419,-117.82234277086502,59.04,2.0672238000000003,292.03546,16.389968895800934,16.50855365474339
1474114041.9997845,0.007392711968522693,-0.34168336894276474,8.618010332573258,13.904688332351519,0.09811798351039042,0.09840966997491443,32.711154261402605,-117.82226641543514,59.14,2.240637,295.03094,16.384136858475895,16.388024883359254
1474114042.9997835,0.007394226442087351,-0.3417109336914314,8.539130120403474,13.926281343166417,0.0980000980603936,0.09829248699995445,32.71119430458976,-117.8221901451173,59.21,2.2260562999999998,293.07937999999996,16.30248833592535,16.40552099533437
1474114043.9997826,0.007395810415074767,-0.34173613986180496,8.39448920675607,13.962969253445117,0.09791265078132298,0.09820559735570689,32.711233710604844,-117.8221135225806,59.28,2.2214851,297.11242999999996,16.34914463452566,16.483281493001556
1474114044.9997816,0.007397436158740589,-0.34175864200367906,8.21610817086085,13.963361364871867,0.09790280888879652,0.09819684176478378,32.711272326862066,-117.82203669802715,59.33,2.27125,292.5113,16.41135303265941,16.283048211508554
1474114045.9997807,0.007399086570315257,-0.3417783569836942,8.041662153893645,13.980527131776233,0.09795710948494323,0.09825224314655524,32.71131010200861,-117.82195975633707,59.41,2.4703481,289.6045,16.288880248833593,16.281104199066874
1474114046.9997797,0.007400851846534208,-0.3417956881384691,7.925918832722571,14.0361531896873,0.09802146199192638,0.09831679842983769,32.71134729745128,-117.82188226289736,59.46,2.4476612,286.1334,16.333592534992224,16.261664074650078
1474114047.9997787,0.007402685618805436,-0.3418109637076056,7.897977880890226,14.076201392925732,0.09808036850687134,0.09837449552899757,32.711383955285854,-117.82180440387629,59.54,2.2343349999999997,278.09612999999996,16.318040435458787,16.176127527216174
1474114048.9997778,0.007404487774380313,-0.3418271336659827,8.043744145062627,14.089908607269335,0.09812314706401173,0.09841522459711295,32.71142090169562,-117.82172641908778,59.64,2.2583509999999998,266.16202000000004,16.162519440124417,16.14891135303266
1474114049.9997768,0.00740604436198046,-0.34184534013790424,8.139781781340462,14.080042787139561,0.09817381217079252,0.09846549139330585,32.71145820624076,-117.82164919474911,59.77,2.4797107999999994,270.52792,16.20139968895801,16.265552099533437
1474114050.999776,0.00740767581612602,-0.3418654263053716,8.216842336936464,14.081276594016638,0.09820084659669485,0.0984927068694754,32.71149627502484,-117.82157128589529,59.93,2.763148,279.4621,16.220839813374806,16.236391912908243
1474114051.999775,0.007409110106074757,-0.3418865278473079,8.28982882699922,14.06907664487373,0.09819148991888456,0.09848388610045611,32.71153443560346,-117.82149399025008,60.04,3.0109944,281.84354,16.376360808709176,16.24805598755832
1474114052.999774,0.007410467609679545,-0.34190879903458177,8.315630315065755,14.069862721681966,0.09815034081414922,0.09844286735191315,32.71157291061697,-117.82141674851181,60.15,3.034524,285.49985,16.36080870917574,16.421073094867808
1474114053.999773,0.007411766685739613,-0.341930854410703,8.295503782447353,14.078312120393129,0.09808605348526227,0.09837834103667348,32.71161127142796,-117.82133957951464,60.23,3.2362232000000004,289.4383,16.30248833592535,16.30443234836703
1474114054.999772,0.007412957717519155,-0.341952505484476,8.286150580802195,14.067409012588335,0.09802472813874716,0.09831695775407284,32.711649385177715,-117.82126272474812,60.27,3.44925,291.7938,16.378304821150856,16.34720062208398
1474114055.999771,0.007414248894691555,-0.34197457354095384,8.204963121962956,14.063129158079347,0.09797480171705665,0.09826655335967686,32.711687819782405,-117.82118516949637,60.31,3.5641334000000002,291.96547999999996,16.504665629860032,16.393856920684293
